Data Input Year,Student,State,US Region,Country,English Language Primary Language of Country,IPEDS Race Description,Athletic Code 1,Team Gender,Athletic Code Description 1,HYR,Entering Term,Yr,FCLASS,RetentionClass,ACADINDEX,SATCFORAI,ACTUSE,SATCUSE,SATVUSE,satm,satwr,HSGPA,FIRSTCOLLEGE,FIRSTMAJOR,First Major (HEGIS) Description,LASTCOLLEGE,LASTMAJOR,Last Major (HEGIS) Description,Last Cumulative BU GPA,Cumulative GPA-1st Sem,Cumulative GPA-2nd Sem,Cumulative GPA-3rd Sem,Cumulative GPA-4th Sem,Cumulative GPA-5th Sem,Cumulative GPA-6th Sem,Cumulative GPA-7th Sem,Cumulative GPA-8th Sem,Cumulative GPA-9th Sem,Cumulative GPA-10th Sem,Cumulative GPA-11th Sem,Cumulative GPA-12th Sem,Cumulative GPA-13th Sem,Cumulative GPA-14th Sem,Cumulative GPA-15th Sem,Cumulative GPA-16th Sem,Cumulative GPA-17th Sem,Cumulative GPA-18th Sem,Cumulative GPA-19th Sem,Cumulative GPA-20th Sem,Cumulative GPA-21st Sem,Cumulative GPA-22nd Sem,Semester GPI-1st Sem,Semester GPI-2nd Sem,Semester GPI-3rd Sem,Semester GPI-4th Sem,Semester GPI-5th Sem,Semester GPI-6th Sem,Semester GPI-7th Sem,Semester GPI-8th Sem,Semester GPI-9th Sem,Semester GPI-10th Sem,Semester GPI-11th Sem,Semester GPI-12th Sem,Semester GPI-13th Sem,Semester GPI-14th Sem,Semester GPI-15th Sem,Semester GPI-16th Sem,Semester GPI-17th Sem,Semester GPI-18th Sem,Semester GPI-19th Sem,Semester GPI-20th Sem,Semester GPI-21st Sem,Semester GPI-22nd Sem
2022,1,,,Canada,English,Non-Resident Alien,HC,M,MEN'S ICE HOCKEY,J20,Fall2020,U3,FRESHMEN,Freshmen,198,1220,,,,,,3.4,CAS,2204,Economics,CAS,2204,Economics,3,3.57,3.57,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.57,0,2.85,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,2,CT,,,,African American or Black,SC,M,MEN'S SOCCER,S17,Fall2017,U4,FRESHMEN,Freshmen,204.7,1230,,1230,,,,3.6,COM,602,Journalism,COM,601,Communication,3.46,2.9,3.04,3.14,3.19,3.29,3.34,3.41,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,2.9,3.18,3.35,3.33,3.68,3.6,3.85,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,3,CA,,,,White,MC,M,MEN'S ROWING,S20,Fall2020,U3,FRESHMEN,Freshmen,216,1280,27,,,0,0,4,CAS,506,Business Admin & Mgt,QST,506,Business Admin & Mgt,3.53,3.43,3.52,3.51,3.48,3.5,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.43,3.6,3.5,3.4,3.58,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,14,,,Italy,Non-English,Non-Resident Alien,SC,M,MEN'S SOCCER,S19,Fall2019,U4,FRESHMEN,Freshmen,192.7,1190,,,,0,0,3.2,CAS,317,Interntl Relations,CAS,317,Interntl Relations,3.86,3.58,3.75,3.75,3.81,3.82,3.85,3.85,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.58,3.93,3.75,4,3.85,4,3.75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,15,,,Germany,Non-English,Non-Resident Alien,MC,M,MEN'S ROWING,S21,Fall2021,U3,FRESHMEN,Freshmen,,,,,,0,0,3.5,CAS,2204,Economics,QST,506,Business Admin & Mgt,3.66,3.93,3.93,3.77,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.93,3.94,3.48,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,17,MA,,,,White,HC,M,MEN'S ICE HOCKEY,S21,Fall2021,U2,FRESHMEN,Freshmen,198,1340,29,,,0,0,2.8,CAS,614,Advertising,COM,614,Advertising,2.89,2.93,3.06,3.08,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.93,3.23,3.08,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,18,MA,,,,White,HC,M,MEN'S ICE HOCKEY,S17,Fall2017,U4,FRESHMEN,Freshmen,186.7,1150,25,,,,,3,CGS,518,Hospitality Admin,SHA,518,Hospitality Admin,2.39,2.33,2.34,2.2,2.32,2.3,2.42,2.33,2.35,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.39,2.33,2.35,2.2,2.25,2.68,3.35,2.09,2.49,3.03,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,23,,,Hungary,Non-English,Non-Resident Alien,MC,M,MEN'S ROWING,S17,Fall2017,U4,FRESHMEN,Freshmen,198,1220,,1220,,,,3.4,ENG,910,Mechanical Engnrng,ENG,910,Mechanical Engnrng,3.2,2.83,3.03,3.05,3.15,3.12,3.14,3.14,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,2.83,3.24,3.08,3.43,2.99,3.32,3.14,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,24,,,Monaco,Non-English,Non-Resident Alien,SC,M,MEN'S SOCCER,S20,Fall2020,U4,TRANSFERS,Transfers,207,,,,,0,0,3.1,CAS,2204,Economics,CAS,2204,Economics,2.38,2.5,2.94,2.05,2.29,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.38,2.5,3.53,0.5,2.8,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,25,RI,,,,White,HC,M,MEN'S ICE HOCKEY,S19,Fall2019,U4,FRESHMEN,Freshmen,193.5,1200,,,,0,0,3.2,CAS,2001,Psychology,SHA,518,Hospitality Admin,3.46,3.67,3.73,3.8,3.63,3.49,3.52,3.51,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.67,3.78,3.93,3.15,3.09,3.68,3.2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
