Last Major Name,Team Gender,Last Cumulative BU GPA
Advertising,M,3.0637931034482757
Advertising,W,3.35578947368421
American Studies,W,3.295
Anthro-SpecBioAnthro,M,2.81
Anthro-SpecSocioAnth,W,3.43
Anthropology,W,3.96
Applied Human Devlp,W,3.9
Approved Deferral,M,2.7397142857142858
Approved Deferral,W,3.2061290322580644
Architectural Studs,M,3.3200000000000003
Architectural Studs,W,3.6633333333333336
Astronomy,M,3.48
Behavior and Health,M,3.8
Behavior and Health,W,3.439090909090909
"Bio Cell,Molec,Gentc",M,3.265
"Bio Cell,Molec,Gentc",W,3.2466666666666666
Bio w/spec Beh Bio,M,3.82
"Bio, Ecology & Consv",M,2.82
"Bio, Ecology & Consv",W,3.65
"Bio, Neurobiology",W,3.8
Biochem & Molec Bio,M,3.626
Biochem & Molec Bio,W,3.2866666666666666
Biology,M,3.5766666666666667
Biology,W,3.1929166666666666
Biomedical Engnrng,M,3.6719999999999997
Biomedical Engnrng,W,3.340952380952381
Business Admin & Mgt,M,3.218153846153846
Business Admin & Mgt,W,3.4091780821917808
Chemistry,W,3.0566666666666666
Chemistry: Biochem,W,3.58
Communication,M,3.061
Communication,W,3.397272727272727
Computer Engineering,M,3.3344444444444443
Computer Engineering,W,3.44
Computer Science,M,3.126
Computer Science,W,3.46
Data Science,M,4.0
Earth&Envirnmntl Sci,W,3.2449999999999997
Economics,M,3.074390243902439
Economics,W,3.169375
Economics and Math,M,3.4699999999999998
Economics and Math,W,3.9450000000000003
Edu&HumanDevSpecCAMH,W,3.89
Edu&HumanDevSpecYD&J,W,2.74
Electrical Engnrng,M,3.19
English,M,3.06
English,W,3.5799999999999996
Envir Analysis & Pol,M,3.54
Envir Analysis & Pol,W,3.5542857142857147
Environmental Health,M,3.41
Film and Television,M,3.3625
Film and Television,W,3.6385714285714283
Fresh/Sophomore Core,M,3.42
Genl Lib Arts & Sci,M,3.0700000000000003
Genl Lib Arts & Sci,W,3.28
Graphic Design,M,2.93
Graphic Design,W,3.64
Health Science,M,3.127
Health Science,W,3.4062025316455693
Health Studies,M,3.456666666666667
Health Studies,W,3.63875
History,M,2.48
History,W,3.66
History of Art&Arch,W,3.93
Hlthcre Emrgncy Mgmt,W,0.0
Hospitality Admin,M,2.9505555555555554
Hospitality Admin,W,3.258
Hospitality Mgmt,M,3.95
Hospitality and Comm,M,3.1
Hospitality and Comm,W,3.466666666666667
Human Physiology,M,3.47625
Human Physiology,W,3.5673076923076925
Interntl Relations,M,3.3975
Interntl Relations,W,3.390434782608696
Journalism,M,3.285
Journalism,W,3.1666666666666665
Linguistics,W,3.2
Linguistics&CompSci,W,3.26
Marine Science,M,2.98
Marine Science,W,3.2566666666666664
Math-Computer Scienc,M,3.09
Math-Computer Scienc,W,3.81
Mathematics,M,3.304
Mathematics,W,3.66
Mechanical Engnrng,M,3.225925925925926
Mechanical Engnrng,W,3.531538461538462
Media Science,M,3.12
Neuroscience,M,3.5149999999999997
Neuroscience,W,3.2899999999999996
Nutritional Sciences,M,3.48
Nutritional Sciences,W,3.02
Phil & Political Sci,M,3.6
Phil & Political Sci,W,3.22
Phil & Psychology,W,3.5
Philosophy,M,2.3049999999999997
Philosophy,W,3.35
Philosophy&Neuroscnc,W,3.94
Physics,M,2.49
Physics&ComputerSci,M,3.1
Political Science,M,3.5729999999999995
Political Science,W,3.531764705882353
Project Management,M,3.1
Psychology,M,2.893333333333333
Psychology,W,3.2896551724137932
Public Relations,M,3.0683333333333334
Public Relations,W,3.352222222222222
Religion,M,3.49
Sociology,M,3.056
Sociology,W,2.78
Stats&ComputerSci,W,3.61
Television,W,3.2
