Team Name,Last Major Name,Last Cumulative BU GPA
CROSS COUNTRY (MEN),Advertising,3.53
CROSS COUNTRY (MEN),Approved Deferral,3.065
CROSS COUNTRY (MEN),"Bio Cell,Molec,Gentc",3.29
CROSS COUNTRY (MEN),Biochem & Molec Bio,3.473333333333333
CROSS COUNTRY (MEN),Biomedical Engnrng,3.9133333333333336
CROSS COUNTRY (MEN),Business Admin & Mgt,3.3675
CROSS COUNTRY (MEN),Computer Engineering,3.62
CROSS COUNTRY (MEN),Computer Science,3.65
CROSS COUNTRY (MEN),Economics,3.31
CROSS COUNTRY (MEN),Economics and Math,3.21
CROSS COUNTRY (MEN),Envir Analysis & Pol,3.54
CROSS COUNTRY (MEN),Fresh/Sophomore Core,3.42
CROSS COUNTRY (MEN),Health Science,3.105
CROSS COUNTRY (MEN),Hospitality Admin,3.34
CROSS COUNTRY (MEN),Human Physiology,3.96
CROSS COUNTRY (MEN),Math-Computer Scienc,2.64
CROSS COUNTRY (MEN),Mechanical Engnrng,3.2266666666666666
CROSS COUNTRY (MEN),Phil & Political Sci,3.6
CROSS COUNTRY (MEN),Political Science,3.893333333333333
CROSS COUNTRY (WOMEN),Advertising,3.54
CROSS COUNTRY (WOMEN),Approved Deferral,3.075
CROSS COUNTRY (WOMEN),Biochem & Molec Bio,3.68
CROSS COUNTRY (WOMEN),Biomedical Engnrng,2.47
CROSS COUNTRY (WOMEN),Business Admin & Mgt,3.48
CROSS COUNTRY (WOMEN),Chemistry,2.42
CROSS COUNTRY (WOMEN),Computer Science,3.3
CROSS COUNTRY (WOMEN),Economics,2.77
CROSS COUNTRY (WOMEN),English,3.815
CROSS COUNTRY (WOMEN),Health Science,3.6350000000000002
CROSS COUNTRY (WOMEN),Health Studies,3.6399999999999997
CROSS COUNTRY (WOMEN),Interntl Relations,3.78
CROSS COUNTRY (WOMEN),Journalism,3.93
CROSS COUNTRY (WOMEN),Neuroscience,3.75
CROSS COUNTRY (WOMEN),Nutritional Sciences,3.06
CROSS COUNTRY (WOMEN),Phil & Psychology,3.58
CROSS COUNTRY (WOMEN),Psychology,2.98
CROSS COUNTRY (WOMEN),Public Relations,3.5066666666666664
FIELD HOCKEY,Approved Deferral,3.283333333333333
FIELD HOCKEY,Behavior and Health,3.69
FIELD HOCKEY,Biology,3.46
FIELD HOCKEY,Biomedical Engnrng,3.4899999999999998
FIELD HOCKEY,Business Admin & Mgt,3.4349999999999996
FIELD HOCKEY,Communication,3.44
FIELD HOCKEY,Film and Television,3.37
FIELD HOCKEY,History,3.66
FIELD HOCKEY,Hospitality Admin,3.62
FIELD HOCKEY,Human Physiology,3.7920000000000003
FIELD HOCKEY,Interntl Relations,3.3125
FIELD HOCKEY,Journalism,3.1266666666666665
FIELD HOCKEY,Nutritional Sciences,3.0
FIELD HOCKEY,Psychology,3.355
FIELD HOCKEY,Public Relations,3.3333333333333335
LACROSSE (MEN),Advertising,2.987
LACROSSE (MEN),Approved Deferral,2.8377777777777777
LACROSSE (MEN),Biology,3.33
LACROSSE (MEN),Business Admin & Mgt,3.0711764705882354
LACROSSE (MEN),Communication,3.115
LACROSSE (MEN),Economics,2.9475
LACROSSE (MEN),Film and Television,3.55
LACROSSE (MEN),Genl Lib Arts & Sci,2.82
LACROSSE (MEN),Hospitality Admin,2.94
LACROSSE (MEN),Human Physiology,2.8
LACROSSE (MEN),Interntl Relations,3.2
LACROSSE (MEN),Mathematics,3.37
LACROSSE (MEN),Mechanical Engnrng,2.4766666666666666
LACROSSE (MEN),Media Science,3.09
LACROSSE (MEN),Political Science,3.42
LACROSSE (MEN),Psychology,2.9966666666666666
LACROSSE (MEN),Public Relations,3.235
LACROSSE (WOMEN),Advertising,3.21
LACROSSE (WOMEN),Approved Deferral,3.222
