Data Input Year,State,Country,Language,IPEDS Race Description,Athletic Code,Team Gender,Team Name,HYR,Entering Term,Yr,FCLASS,RetentionClass,ACADINDEX,SATCFORAI,ACTUSE,SATCUSE,SATVUSE,satm,satwr,HSGPA,FIRSTCOLLEGE,FIRSTMAJOR,First Major Name,LASTCOLLEGE,LASTMAJOR,Last Major Name,Last Cumulative BU GPA,Cumulative GPA-1st Sem,Cumulative GPA-2nd Sem,Cumulative GPA-3rd Sem,Cumulative GPA-4th Sem,Cumulative GPA-5th Sem,Cumulative GPA-6th Sem,Cumulative GPA-7th Sem,Cumulative GPA-8th Sem,Cumulative GPA-9th Sem,Cumulative GPA-10th Sem,Cumulative GPA-11th Sem,Cumulative GPA-12th Sem,Cumulative GPA-13th Sem,Cumulative GPA-14th Sem,Cumulative GPA-15th Sem,Cumulative GPA-16th Sem,Cumulative GPA-17th Sem,Cumulative GPA-18th Sem,Cumulative GPA-19th Sem,Cumulative GPA-20th Sem,Cumulative GPA-21st Sem,Cumulative GPA-22nd Sem,Semester GPI-1st Sem,Semester GPI-2nd Sem,Semester GPI-3rd Sem,Semester GPI-4th Sem,Semester GPI-5th Sem,Semester GPI-6th Sem,Semester GPI-7th Sem,Semester GPI-8th Sem,Semester GPI-9th Sem,Semester GPI-10th Sem,Semester GPI-11th Sem,SwitchedMajor,transfer,Last Cumulative and First GPA diff,Standardized Test
2021,CT,USA,English,African American or Black,SC,M,MEN'S SOCCER,S17,Fall2017,U4,FRESHMEN,Freshmen,204.7,1230.0,,1230.0,,,,3.6,COM,602.0,Journalism,COM,601.0,Communication,3.46,2.9,3.04,3.14,3.19,3.29,3.34,3.41,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,2.9,3.18,3.35,3.33,3.68,3.6,3.85,3.9,0.0,0.0,0.0,1,0,0.56,1
2023,,Germany,Non-English,Non-Resident Alien,MC,M,MEN'S ROWING,S21,Fall2021,U3,FRESHMEN,Freshmen,,,,,,0.0,0.0,3.5,CAS,2204.0,Economics,QST,506.0,Business Admin & Mgt,3.66,3.93,3.93,3.77,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.66,3.93,3.94,3.48,3.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-0.27,1
2023,RI,USA,English,White,HC,M,MEN'S ICE HOCKEY,S19,Fall2019,U4,FRESHMEN,Freshmen,193.5,1200.0,,,,0.0,0.0,3.2,CAS,2001.0,Psychology,SHA,518.0,Hospitality Admin,3.46,3.67,3.73,3.8,3.63,3.49,3.52,3.51,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.67,3.78,3.93,3.15,3.09,3.68,3.2,3.4,0.0,0.0,0.0,1,0,-0.20999999999999996,1
2021,,Kenya,Non-English,Non-Resident Alien,SC,M,MEN'S SOCCER,S20,Fall2020,U1,FRESHMEN,Freshmen,207.0,1260.0,,,,,,3.6,CAS,401.0,Biology,SAR,5561.0,Behavior and Health,3.8,3.85,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.85,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-0.050000000000000266,1
2021,,United Kingdom,English,Non-Resident Alien,SC,M,MEN'S SOCCER,J19,Fall2019,U4,TRANSFERS,Transfers,240.0,,,,,,,3.1,CAS,2204.0,Economics,QST,506.0,Business Admin & Mgt,3.12,3.18,3.18,3.22,3.22,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.12,3.18,0.0,3.43,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,1,1,-0.06000000000000005,1
2023,NY,USA,English,White,LM,M,LACROSSE (MEN),S20,Fall2020,U3,FRESHMEN,Freshmen,217.5,1340.0,29.0,,,0.0,0.0,3.8,CAS,2204.0,Economics,QST,506.0,Business Admin & Mgt,2.91,2.75,2.75,2.83,2.88,2.86,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.75,2.75,3.0,3.0,2.78,3.18,0.0,0.0,0.0,0.0,0.0,1,0,0.16000000000000014,1
2021,,Russia,Non-English,Non-Resident Alien,MT,M,MEN'S TENNIS,S19,Fall2019,U2,FRESHMEN,Freshmen,205.5,1320.0,,,,,,3.4,CAS,2204.0,Economics,QST,506.0,Business Admin & Mgt,3.68,3.85,3.76,3.69,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.68,3.85,3.68,3.56,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-0.16999999999999993,1
2023,MA,USA,English,White,SC,M,MEN'S SOCCER,S20,Fall2020,U3,FRESHMEN,Freshmen,220.5,1340.0,29.0,,,0.0,0.0,4.0,CAS,2204.0,Economics,QST,506.0,Business Admin & Mgt,3.19,3.58,3.35,3.36,3.28,3.26,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.19,3.58,3.14,3.4,3.0,3.18,2.85,0.0,0.0,0.0,0.0,0.0,1,0,-0.3900000000000001,1
2021,PA,USA,English,African American or Black,MC,M,MEN'S ROWING,S17,Fall2017,U4,FRESHMEN,Freshmen,201.0,1220.0,27.0,,,,,3.5,CAS,5558.0,Health Science,CAS,2204.0,Economics,3.55,3.0,3.24,3.3,3.31,3.37,3.47,3.51,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.0,3.43,3.4,3.35,3.58,4.0,3.75,3.85,0.0,0.0,0.0,1,0,0.5499999999999998,1
2021,CO,USA,English,White,CC,M,CROSS COUNTRY (MEN),S17,Fall2017,U4,FRESHMEN,Freshmen,222.0,1420.0,32.0,,,,,3.7,CAS,401.0,Biology,CAS,1522.0,Phil & Political Sci,3.6,3.33,3.53,3.45,3.43,3.47,3.47,3.54,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.33,3.68,3.33,3.33,3.6,0.0,3.78,3.88,0.0,0.0,0.0,1,0,0.27,1
2023,MA,USA,English,White,LM,M,LACROSSE (MEN),S21,Fall2021,U2,FRESHMEN,Freshmen,,,,,,0.0,0.0,3.1,CAS,2204.0,Economics,SHA,518.0,Hospitality Admin,2.64,2.68,2.59,2.68,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.68,2.49,2.6,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-0.040000000000000036,1
2023,CT,USA,English,White,MC,M,MEN'S ROWING,S21,Fall2021,U2,FRESHMEN,Freshmen,,,,,,0.0,0.0,3.6,CAS,2204.0,Economics,QST,506.0,Business Admin & Mgt,2.83,2.15,2.69,2.72,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.15,3.18,2.78,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.6800000000000002,1
2023,IL,USA,English,Hispanic/Latino,TR,M,MEN'S TRACK AND FIELD,S20,Fall2020,U3,FRESHMEN,Freshmen,229.5,1460.0,33.0,,,0.0,0.0,4.0,CAS,1905.0,Chemistry,CAS,701.0,Computer Science,3.46,3.43,3.34,3.49,3.54,3.52,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.43,3.26,3.74,3.77,3.5,3.08,0.0,0.0,0.0,0.0,0.0,1,0,0.029999999999999805,1
2023,PA,USA,English,White,LM,M,LACROSSE (MEN),S21,Fall2021,U2,FRESHMEN,Freshmen,210.7,1230.0,,,,0.0,0.0,3.9,CAS,2204.0,Economics,QST,506.0,Business Admin & Mgt,3.3,3.1,3.16,3.32,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.1,3.23,3.58,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.19999999999999973,1
2023,NY,USA,English,White,LM,M,LACROSSE (MEN),S21,Fall2021,U4,TRANSFERS,Transfers,210.0,,,,,0.0,0.0,3.6,CAS,2204.0,Economics,COM,691.0,Public Relations,3.44,3.47,3.31,3.42,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.47,3.2,3.48,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,-0.03000000000000025,1
2022,,United Kingdom,English,Non-Resident Alien,MC,M,MEN'S ROWING,J18,Fall2018,G1,FRESHMEN,Freshmen,209.2,1290.0,27.0,,,,,3.6,ENG,910.0,Mechanical Engnrng,ENG,930.0,Computer Engineering,3.14,3.64,3.64,3.01,3.01,3.0,3.0,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.13,3.64,0.0,2.73,0.0,3.63,0.0,3.33,0.0,0.0,0.0,0.0,1,0,-0.5,1
